id,hotelId,name,image,rating,url,category,location,createdAt,updatedAt
1,NULL,"Hotel Artemide",https://s3-media2.fl.yelpcdn.com/bphoto/LdiSgxbpPLs8O7m3oEmbQg/o.jpg,5,https://www.yelp.com/biz/hotel-artemide-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
2,NULL,"Best Western Blu",https://s3-media3.fl.yelpcdn.com/bphoto/Nqz14IUZ5K0XO_OsOHt2WA/o.jpg,4,https://www.yelp.com/biz/best-western-blu-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
3,NULL,"iQ Hotel Roma",https://s3-media3.fl.yelpcdn.com/bphoto/giL_kns3Q8wyZI-AgvTAgQ/o.jpg,5,https://www.yelp.com/biz/iq-hotel-roma-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
4,NULL,"Hotel Raffaello",https://s3-media3.fl.yelpcdn.com/bphoto/FnRsZ48qdcdU2adUndRSxg/o.jpg,5,https://www.yelp.com/biz/hotel-raffaello-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
5,NULL,"The St. Regis Rome",https://s3-media1.fl.yelpcdn.com/bphoto/fxYHf4jb-bxxQAOl2hIpgA/o.jpg,5,https://www.yelp.com/biz/the-st-regis-rome-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
6,NULL,"Hotel Bella Vita",https://s3-media1.fl.yelpcdn.com/bphoto/BWvX5bHoKjF_gNLQgNpFSw/o.jpg,4,https://www.yelp.com/biz/hotel-bella-vita-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
7,NULL,"Singer Palace Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/pGS51XFWhPk0_DeRiJ7I2g/o.jpg,5,https://www.yelp.com/biz/singer-palace-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
8,NULL,"Hotel Barocco",https://s3-media1.fl.yelpcdn.com/bphoto/6uGkZXPa-kMIdkAe-oAUAg/o.jpg,5,https://www.yelp.com/biz/hotel-barocco-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
9,NULL,"Albergo del Senato",https://s3-media1.fl.yelpcdn.com/bphoto/DhHk63PACYKew49bJ8RHvg/o.jpg,5,https://www.yelp.com/biz/albergo-del-senato-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
10,NULL,"Nerva Boutique Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/cosF6d088Go9Vms_CyJ3Og/o.jpg,5,https://www.yelp.com/biz/nerva-boutique-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
11,NULL,"Palazzo Navona Hotel",https://s3-media2.fl.yelpcdn.com/bphoto/dMSeH05-sjVvBK1AfX2zGA/o.jpg,4,https://www.yelp.com/biz/palazzo-navona-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
12,NULL,"The Independent Hotel",https://s3-media1.fl.yelpcdn.com/bphoto/9SuHFZVZl2Ozw9hhJnsFBA/o.jpg,5,https://www.yelp.com/biz/the-independent-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
13,NULL,"Courtyard by Marriott Rome Central Park",https://s3-media2.fl.yelpcdn.com/bphoto/rqul-01idfT-QJmco8AqXA/o.jpg,4,https://www.yelp.com/biz/courtyard-by-marriott-rome-central-park-rome?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,"Venues & Event Spaces",Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
14,NULL,"Hotel Eden",https://s3-media1.fl.yelpcdn.com/bphoto/e85aUoujM45vu-vRSh6TjA/o.jpg,5,https://www.yelp.com/biz/hotel-eden-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
15,NULL,"Palazzo Naiadi, The Dedica Anthology, Autograph Collection",https://s3-media2.fl.yelpcdn.com/bphoto/To70plq7Rd83EYqGJ9xVSw/o.jpg,4,https://www.yelp.com/biz/palazzo-naiadi-the-dedica-anthology-autograph-collection-rome?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
16,NULL,"Villa Duse",https://s3-media1.fl.yelpcdn.com/bphoto/QljiilXihahrKU455f4dtA/o.jpg,5,https://www.yelp.com/biz/villa-duse-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
17,NULL,"Hotel Napoleon",https://s3-media4.fl.yelpcdn.com/bphoto/lf2ogZuGZOiP962M1631Hw/o.jpg,5,https://www.yelp.com/biz/hotel-napoleon-roma-3?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
18,NULL,"Trevi 41 Hotel",https://s3-media2.fl.yelpcdn.com/bphoto/scRA-KogcaQDqHN6GKFgLg/o.jpg,5,https://www.yelp.com/biz/trevi-41-hotel-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
19,NULL,"Hotel Canada",https://s3-media4.fl.yelpcdn.com/bphoto/_YgnYAAS_PmyIbSOwaw9ZQ/o.jpg,5,https://www.yelp.com/biz/hotel-canada-roma-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
20,NULL,"Hotel Santa Maria",https://s3-media3.fl.yelpcdn.com/bphoto/5RYKUd5q2l7zovslIO7IKQ/o.jpg,5,https://www.yelp.com/biz/hotel-santa-maria-roma?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Rome,"2020-12-17 04:48:17","2020-12-17 04:48:17"
21,NULL,"Excelsior Hotel Gallia, a Luxury Collection Hotel, Milan",https://s3-media3.fl.yelpcdn.com/bphoto/ur0i0qLrye7-u2auncNdaA/o.jpg,5,https://www.yelp.com/biz/excelsior-hotel-gallia-a-luxury-collection-hotel-milan-milan?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
22,NULL,"Room Mate Giulia Hotel",https://s3-media3.fl.yelpcdn.com/bphoto/IfO9kNVpWjSNHH8S1uiNcA/o.jpg,5,https://www.yelp.com/biz/room-mate-giulia-hotel-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
23,NULL,"Hotel Principe di Savoia",https://s3-media3.fl.yelpcdn.com/bphoto/hNZtp2jS_XTdfdZhpVDX9A/o.jpg,5,https://www.yelp.com/biz/hotel-principe-di-savoia-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
24,NULL,"Armani Hotel",https://s3-media1.fl.yelpcdn.com/bphoto/RU_ilc7Y3_Wr7rhqp6kZhQ/o.jpg,5,https://www.yelp.com/biz/armani-hotel-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
25,NULL,"Bulgari Hotel Milano",https://s3-media2.fl.yelpcdn.com/bphoto/XP0xc-zI5lfuUFTAh_7IDQ/o.jpg,5,https://www.yelp.com/biz/bulgari-hotel-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
26,NULL,"Park Hyatt Milan",https://s3-media4.fl.yelpcdn.com/bphoto/RlCuVApaA6joP9WXzuxH0g/o.jpg,5,https://www.yelp.com/biz/park-hyatt-milan-milano-2?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
27,NULL,"NYX Hotel Milano",https://s3-media2.fl.yelpcdn.com/bphoto/lP6XeFau1mDcHlXWIcitaw/o.jpg,5,https://www.yelp.com/biz/nyx-hotel-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
28,NULL,"Four Seasons Hotel Milan",https://s3-media1.fl.yelpcdn.com/bphoto/K2RJ1Y0JE64eZ-8yGcjr8Q/o.jpg,5,https://www.yelp.com/biz/four-seasons-hotel-milan-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
29,NULL,"Chateau Monfort",https://s3-media3.fl.yelpcdn.com/bphoto/oucUZN62ZOa8Wf-oder4og/o.jpg,5,https://www.yelp.com/biz/chateau-monfort-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
30,NULL,"Bio City",https://s3-media2.fl.yelpcdn.com/bphoto/6rT4EvgZMsffsVV8m6DUcA/o.jpg,5,https://www.yelp.com/biz/bio-city-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
31,NULL,"Hotel Glam",https://s3-media3.fl.yelpcdn.com/bphoto/W7DGM2xEo7FJLOGt2ahqGA/o.jpg,5,https://www.yelp.com/biz/hotel-glam-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
32,NULL,"AC Hotel by Marriott Milano",https://s3-media3.fl.yelpcdn.com/bphoto/qYk7-nr0QXidCBrPpGbyFA/o.jpg,4,https://www.yelp.com/biz/ac-hotel-by-marriott-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
33,NULL,"Una Maison",https://s3-media4.fl.yelpcdn.com/bphoto/NmUpqIUhzZLRCSN9c3opHg/o.jpg,5,https://www.yelp.com/biz/una-maison-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
34,NULL,"Hilton Milano",https://s3-media2.fl.yelpcdn.com/bphoto/lPvI4SgIFiWgn26nfdhPsQ/o.jpg,4,https://www.yelp.com/biz/hilton-milano-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
35,NULL,"Hotel Berna",https://s3-media1.fl.yelpcdn.com/bphoto/bHviPhbqm3oM2o4YwgjbqQ/o.jpg,4,https://www.yelp.com/biz/hotel-berna-milano?adjust_creative=xdpM2DnWINPpE_1fanlM9g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xdpM2DnWINPpE_1fanlM9g,Hotels,Milan,"2020-12-17 04:48:18","2020-12-17 04:48:18"
